code,display_name,city,raw_name
CEM00043418,Trincomalee,Trincomalee,TRINCOMALEE
CEM00043466,Colombo,Colombo,COLOMBO
CEM00043497,Hambantota,Hambantota,HAMBANTOTA
CFM00064450,Brazzaville ,Brazzaville ,BRAZZAVILLE /MAYA-MAYA
CHM00050527,Hailar (50527-0),Hailar (50527-0),HAILAR (50527-0)
CHM00050557,Nenjiang,Nenjiang,NENJIANG
CHM00050774,Yichun (50774-0),Yichun (50774-0),YICHUN (50774-0)
CHM00050953,Harbin (50953-0),Harbin (50953-0),HARBIN (50953-0)
CHM00051076,Altay,Altay,ALTAY
CHM00051243,Karamay,Karamay,KARAMAY
CHM00051431,Yining,Yining,YINING
CHM00051463,Wu Lu Mu Qi (51463-0),Wu Lu Mu Qi (51463-0),WU LU MU QI (51463-0)
CHM00051644,Kuqa,Kuqa,KUQA
CHM00051656,Korla,Korla,KORLA
CHM00051709,Kashi,Kashi,KASHI
CHM00051777,Ruoqiang,Ruoqiang,RUOQIANG
CHM00051828,Hotan,Hotan,HOTAN
CHM00051839,Minfeng,Minfeng,MINFENG
CHM00052203,Hami,Hami,HAMI
CHM00052267,Ejin Qi,Ejin Qi,EJIN QI
CHM00052323,Mazong Shan,Mazong Shan,MAZONG SHAN
CHM00052418,Dunhuang,Dunhuang,DUNHUANG
CHM00052533,Jiuquan,Jiuquan,JIUQUAN
CHM00052681,Minqin,Minqin,MINQIN
CHM00052818,Golmud,Golmud,GOLMUD
CHM00052836,Doulan,Doulan,DOULAN
CHM00052866,Xining (52866-0),Xining (52866-0),XINING (52866-0)
CHM00052983,Yu Zhong,Yu Zhong,YU ZHONG
CHM00053336,Haliut,Haliut,HALIUT
CHM00053463,Hohhot,Hohhot,HOHHOT
CHM00053513,Linhe,Linhe,LINHE
CHM00053543,Dongsheng,Dongsheng,DONGSHENG
CHM00053614,Yinchuan,Yinchuan,YINCHUAN
CHM00053772,Taiyuan (53772-0),Taiyuan (53772-0),TAIYUAN (53772-0)
CHM00053798,Xingtai,Xingtai,XINGTAI
CHM00053845,Yan An,Yan An,YAN AN
CHM00053915,Pingliang,Pingliang,PINGLIANG
CHM00054102,Xilin Hot,Xilin Hot,XILIN HOT
CHM00054135,Tongliao,Tongliao,TONGLIAO
CHM00054161,Changchun,Changchun,CHANGCHUN
CHM00054218,Chifeng (54218-0),Chifeng (54218-0),CHIFENG (54218-0)
CHM00054292,Yanji,Yanji,YANJI
CHM00054340,Shenyang,Shenyang,SHENYANG
CHM00054374,Linjiang,Linjiang,LINJIANG
CHM00054401,Zhangjiakou,Zhangjiakou,ZHANGJIAKOU
CHM00054511,Beijing,Beijing,BEIJING
CHM00054662,Dalian,Dalian,DALIAN
CHM00054727,Zhangqiu,Zhangqiu,ZHANGQIU
CHM00054857,Qingdao,Qingdao,QINGDAO
CHM00055299,Nagqu,Nagqu,NAGQU
CHM00055591,Lhasa,Lhasa,LHASA
CHM00056029,Yushu (56029-0),Yushu (56029-0),YUSHU (56029-0)
CHM00056046,Darlag,Darlag,DARLAG
CHM00056080,Hezuo,Hezuo,HEZUO
CHM00056137,Qamdo (56137-0),Qamdo (56137-0),QAMDO (56137-0)
CHM00056187,Wenjiang (56187-0),Wenjiang (56187-0),WENJIANG (56187-0)
CHM00056492,Yibin,Yibin,YIBIN
CHM00056571,Xichang,Xichang,XICHANG
CHM00056651,Lijing,Lijing,LIJING
CHM00056691,Weining,Weining,WEINING
CHM00056739,Tengchong,Tengchong,TENGCHONG
CHM00056778,Kunming,Kunming,KUNMING
CHM00056964,Simao,Simao,SIMAO
CHM00056985,Mengzi,Mengzi,MENGZI
CHM00057083,Zhengzhou,Zhengzhou,ZHENGZHOU
CHM00057127,Hanzhong,Hanzhong,HANZHONG
CHM00057131,Jinghe (57131-0),Jinghe (57131-0),JINGHE (57131-0)
CHM00057178,Nanyang,Nanyang,NANYANG
CHM00057245,Ankang,Ankang,ANKANG
CHM00057447,Enshi,Enshi,ENSHI
