code,display_name,city,raw_name
USM00072645,"Wi Green Bay/A.-Straubel; Wi., United States",Wi Green Bay,WI GREEN BAY/A.-STRAUBEL; WI.
USM00072649,"Mn Chanhassen; Mn., United States",Mn Chanhassen; Mn.,MN CHANHASSEN; MN.
USM00072654,"Sd Huron Rgnl Ap, United States",Sd Huron Rgnl Ap,SD HURON RGNL AP
USM00072655,"Mn St Cloud Muni Ap, United States",Mn St Cloud Muni Ap,MN ST CLOUD MUNI AP
USM00072659,"Sd Aberdeen/Reg.; Sd., United States",Sd Aberdeen,SD ABERDEEN/REG.; SD.
USM00072662,"Sd Rapid City Wfo; Sd., United States",Sd Rapid City Wfo; Sd.,SD RAPID CITY WFO; SD.
USM00072666,"Wy Sheridan Co. Arpt, United States",Wy Sheridan Co. Arpt,WY SHERIDAN CO. ARPT
USM00072672,"Wy Riverton; Wy., United States",Wy Riverton; Wy.,WY RIVERTON; WY.
USM00072677,"Mt Billings/Logan Int., United States",Mt Billings,MT BILLINGS/LOGAN INT.
USM00072681,"Id Boise/Mun.; Id., United States",Id Boise,ID BOISE/MUN.; ID.
USM00072683,"Or Burns Muni (Amos), United States",Or Burns Muni (Amos),OR BURNS MUNI (AMOS)
USM00072688,"Or Pendleton Municipal, United States",Or Pendleton Municipal,OR PENDLETON MUNICIPAL
USM00072693,"Or Eugene/Mahlon Sweet, United States",Or Eugene,OR EUGENE/MAHLON SWEET
USM00072694,"Or Salem/Mcnary; Or., United States",Or Salem,OR SALEM/MCNARY; OR.
USM00072698,"Or Portland Intl, United States",Or Portland Intl,OR PORTLAND INTL
USM00072712,"Me Caribou/Mun.; Me., United States",Me Caribou,ME CARIBOU/MUN.; ME.
USM00072734,"Mi Sault Ste Marie Sanderson F, United States",Mi Sault Ste Marie Sanderson F,MI SAULT STE MARIE SANDERSON F
USM00072745,"Mn Duluth Intl Airport, United States",Mn Duluth Intl Airport,MN DULUTH INTL AIRPORT
USM00072747,"Mn Int.Falls/Falls Int. Mn., United States",Mn Int.Falls,MN INT.FALLS/FALLS INT. MN.
USM00072753,"Nd Fargo/Hector Field, United States",Nd Fargo,ND FARGO/HECTOR FIELD
USM00072764,"Nd Bismarck/Mun.; Nd., United States",Nd Bismarck,ND BISMARCK/MUN.; ND.
USM00072767,"Nd Williston/Sloulin F, United States",Nd Williston,ND WILLISTON/SLOULIN F
USM00072768,"Mt Glasgow/Int.; Mt., United States",Mt Glasgow,MT GLASGOW/INT.; MT.
USM00072773,"Mt Missoula/Johnson-Be, United States",Mt Missoula,MT MISSOULA/JOHNSON-BE
USM00072776,"Mt Great Falls; Mt., United States",Mt Great Falls; Mt.,MT GREAT FALLS; MT.
USM00072777,"Mt Havre (Amos), United States",Mt Havre (Amos),MT HAVRE (AMOS)
USM00072781,"Wa Yakima Airterm, United States",Wa Yakima Airterm,WA YAKIMA AIRTERM
USM00072783,"Id Lewiston Nez Perce, United States",Id Lewiston Nez Perce,ID LEWISTON NEZ PERCE
USM00072786,"Wa Spokane; Wa., United States",Wa Spokane; Wa.,WA SPOKANE; WA.
USM00072792,"Wa Olympia Mun I Ap, United States",Wa Olympia Mun I Ap,WA OLYMPIA MUN I AP
USM00072793,"Wa Seattle-Tacoma Intl, United States",Wa Seattle-Tacoma Intl,WA SEATTLE-TACOMA INTL
USM00072797,"Wa Quillayute; Wa., United States",Wa Quillayute; Wa.,WA QUILLAYUTE; WA.
USM00072798,"Wa Tatoosh Island Wb, United States",Wa Tatoosh Island Wb,WA TATOOSH ISLAND WB
USM00074001,"Al Redstone Arsenal; Al., United States",Al Redstone Arsenal; Al.,AL REDSTONE ARSENAL; AL.
USM00074002,"Md Aberdeen Prvgr, United States",Md Aberdeen Prvgr,MD ABERDEEN PRVGR
USM00074003,"Ut Dugway Prvgr, United States",Ut Dugway Prvgr,UT DUGWAY PRVGR
USM00074004,"Az Yuma Proving Grounds Az, United States",Az Yuma Proving Grounds Az,AZ YUMA PROVING GROUNDS AZ
USM00074005,"Az Yuma Prvgr, United States",Az Yuma Prvgr,AZ YUMA PRVGR
USM00074207,"Wa Usaf-Ds3-593, United States",Wa Usaf-Ds3-593,WA USAF-DS3-593
USM00074389,"Me Gray; Me., United States",Me Gray; Me.,ME GRAY; ME.
USM00074392,"Me Brunswick, United States",Me Brunswick,ME BRUNSWICK
USM00074455,"Ia Quad City; Ia., United States",Ia Quad City; Ia.,IA QUAD CITY; IA.
USM00074479,"Pa Usaf-Ds3-595, United States",Pa Usaf-Ds3-595,PA USAF-DS3-595
USM00074482,"Ny Newburgh/Stewart Afb, United States",Ny Newburgh,NY NEWBURGH/STEWART AFB
USM00074486,"Ny New York Jfk Ap, United States",Ny New York Jfk Ap,NY NEW YORK JFK AP
USM00074494,"Ma Chatham; Ma., United States",Ma Chatham; Ma.,MA CHATHAM; MA.
USM00074505,"Ca San Jose/Emsu, United States",Ca San Jose,CA SAN JOSE/EMSU
USM00074531,"Co Air Force Academy, United States",Co Air Force Academy,CO AIR FORCE ACADEMY
USM00074544,"Ks Russell, United States",Ks Russell,KS RUSSELL
USM00074560,"Il Lincoln; Il., United States",Il Lincoln; Il.,IL LINCOLN; IL.
USM00074570,"Oh Dayton W Patterson Afb, United States",Oh Dayton W Patterson Afb,OH DAYTON W PATTERSON AFB
USM00074574,"Va Dahlgren, United States",Va Dahlgren,VA DAHLGREN
USM00074606,"Ca South Vandenberg Af, United States",Ca South Vandenberg Af,CA SOUTH VANDENBERG AF
USM00074611,"Ca Bicycle Lake (Aaf), United States",Ca Bicycle Lake (Aaf),CA BICYCLE LAKE (AAF)
USM00074612,"Ca China Lake; Naf; Ca., United States",Ca China Lake; Naf; Ca.,CA CHINA LAKE; NAF; CA.
USM00074614,"Nv Indian Springs Gunn, United States",Nv Indian Springs Gunn,NV INDIAN SPRINGS GUNN
USM00074618,"Ca Cuddleback Gunnery, United States",Ca Cuddleback Gunnery,CA CUDDLEBACK GUNNERY
USM00074619,"Ca Superior Valley Gun, United States",Ca Superior Valley Gun,CA SUPERIOR VALLEY GUN
USM00074626,"Az Wfo Phoenix;, United States",Az Wfo Phoenix;,AZ WFO PHOENIX;
USM00074630,"Nm Stallion Site, United States",Nm Stallion Site,NM STALLION SITE
USM00074631,"Nm White Sands Missile, United States",Nm White Sands Missile,NM WHITE SANDS MISSILE
USM00074638,"Nm Melrose Gunnery Ran, United States",Nm Melrose Gunnery Ran,NM MELROSE GUNNERY RAN
USM00074641,"Ok Gage; Ok; Gage Arpt, United States",Ok Gage; Ok; Gage Arpt,OK GAGE; OK; GAGE ARPT
USM00074646,"Ok Lamont, United States",Ok Lamont,OK LAMONT
USM00074671,"Ky Fort Campbell (Aaf), United States",Ky Fort Campbell (Aaf),KY FORT CAMPBELL (AAF)
USM00074693,"Nc Fort Bragg/Simmons, United States",Nc Fort Bragg,NC FORT BRAGG/SIMMONS
USM00074695,"Nc Dare County Gunnery, United States",Nc Dare County Gunnery,NC DARE COUNTY GUNNERY
USM00074724,"Az Gila Bend (Aaf), United States",Az Gila Bend (Aaf),AZ GILA BEND (AAF)
USM00074732,"Nm Holloman Afb, United States",Nm Holloman Afb,NM HOLLOMAN AFB
USM00074754,"La Alexandria, United States",La Alexandria,LA ALEXANDRIA
USM00074755,"La Claiborne Rng (Afs), United States",La Claiborne Rng (Afs),LA CLAIBORNE RNG (AFS)
USM00074768,"Ms Nasa Miss. Test, United States",Ms Nasa Miss. Test,MS NASA MISS. TEST
USM00074777,"Fl Hurlburt Field (Af), United States",Fl Hurlburt Field (Af),FL HURLBURT FIELD (AF)
